List Sr.No.,Set No.,2025 Set,First Name,Surname,Country,DOB,Age,Specialism,Batting Side ,Bowling Style,Test caps,ODI caps,T20 caps,Previous IPLTeam(s),Current IPL Team,Capped or Uncapped,Reserve Price Rs Lakh
1,1,M1,Jos,Buttler,England,8/9/1990,34,WICKETKEEPER,RHB,RIGHT ARM Off Spin,57,181,124,"MI,RR",RR,Capped,200
2,1,M1,Shreyas,Iyer,India,6/12/1994,30,BATTER,RHB,RIGHT ARM Off Spin,14,62,51,"DC,KKR",KKR,Capped,200
3,1,M1,Rishabh,Pant,India,4/10/1997,27,BATTER,LHB,RIGHT ARM Off Spin,37,31,76,DC,DC,Capped,200
4,1,M1,Kagiso,Rabada,South Africa,25/05/1995,29,BOWLER,RHB,RIGHT ARM Fast,66,101,65,"DC,PBKS",PBKS,Capped,200
5,1,M1,Arshdeep,Singh,India,5/2/1999,26,BOWLER,LHB,LEFT ARM Fast Medium,,8,56,PBKS,PBKS,Capped,200
6,1,M1,Mitchell,Starc,Australia,30/01/1990,35,BOWLER,LHB,LEFT ARM Fast,89,125,65,RCB.KKR,KKR,Capped,200
7,2,M2,Yuzvendra,Chahal,India,23/07/1990,34,BOWLER,RHB,RIGHT ARM Leg Spin,,72,80,"MI,RCB,RR",RR,Capped,200
8,2,M2,Liam,Livingstone,England,4/8/1993,31,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,1,31,50,"RR,PBKS",PBKS,Capped,200
9,2,M2,David,Miller,South Africa,10/6/1989,35,BATTER,LHB,,,173,125,"PBKS,RR,GT",GT,Capped,150
10,2,M2,KL,Rahul,India,18/04/1992,32,WICKETKEEPER,RHB,,53,77,72,"SRH,RCB,PBKS,LSG",LSG,Capped,200
11,2,M2,Mohammad,Shami,India,3/9/1990,34,BOWLER,RHB,RIGHT ARM Fast,64,101,23,"KKR,PBKS,GT",GT,Capped,200
12,2,M2,Mohammad,Siraj,India,13/03/1994,31,BOWLER,RHB,RIGHT ARM Fast,30,44,16,"SRH,RCB",RCB,Capped,200
13,3,BA1,Harry,Brook,England,22/02/1999,26,BATTER,RHB,RIGHT ARM Medium,21,20,39,"SRH,DC",DC,Capped,200
14,3,BA1,Devon,Conway,New Zealand,8/7/1991,33,BATTER,LHB,,24,32,50,CSK,CSK,Capped,200
15,3,BA1,Jake,Fraser-Mcgurk,Australia,11/4/2002,22,BATTER,RHB,,,2,4,DC,DC,Capped,200
16,3,BA1,Aiden,Markram,South Africa,4/10/1994,30,BATTER,RHB,RIGHT ARM Off Spin,41,71,53,"PBKS,SRH",SRH,Capped,200
17,3,BA1,Devdutt,Padikkal,India,7/7/2000,24,BATTER,LHB,,1,,2,"RCB,RR,LSG",LSG,Capped,200
18,3,BA1,Rahul,Tripathi,India,2/3/1991,34,BATTER,RHB,RIGHT ARM Medium,,,5,"RPS,RR,KKR,SRH",SRH,Capped,75
19,3,BA1,David,Warner,Australia,27/10/1986,38,BATTER,LHB,,112,161,110,"SRH,DC",DC,Capped,200
20,4,AL1,Ravichandaran,Ashwin,India,17/09/1986,38,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,104,116,65,"CSK,RPS,PBKS,DC,RR",RR,Capped,200
21,4,AL1,Venkatesh,Iyer,India,25/12/1994,30,ALL-ROUNDER,LHB,RIGHT ARM Medium,,2,9,KKR,KKR,Capped,200
22,4,AL1,Mitchell,Marsh,Australia,20/10/1991,33,ALL-ROUNDER,RHB,RIGHT ARM Fast,42,93,65,"DCH,PWI,RPS,SRH,DC",DC,Capped,200
23,4,AL1,Glenn,Maxwell,Australia,14/10/1988,36,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,7,142,113,"DC,MI,PBKS,RCB",RCB,Capped,200
24,4,AL1,Harshal,Patel,India,23/11/1990,34,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,25,"DC,RCB,PBKS",PBKS,Capped,200
25,4,AL1,Rachin,Ravindra,New Zealand,18/11/1999,25,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,11,25,23,CSK,CSK,Capped,150
26,4,AL1,Marcus,Stoinis,Australia,16/08/1989,35,ALL-ROUNDER,RHB,RIGHT ARM Fast,,70,71,"PBKS,RCB,DC,LSG",LSG,Capped,200
27,5,WK1,Jonny,Bairstow,England,26/09/1989,35,WICKETKEEPER,RHB,RIGHT ARM Medium,100,107,80,"SRH,PBKS",PBKS,Capped,200
28,5,WK1,Quinton,De Kock,South Africa,17/12/1992,32,WICKETKEEPER,LHB,,54,155,92,"SRH,DC,RCB,MI,LSG",LSG,Capped,200
29,5,WK1,Rahmanullah,Gurbaz,Afghanistan,28/11/2001,23,WICKETKEEPER,RHB,,1,43,63,"GT, KKR",KKR,Capped,200
30,5,WK1,Ishan,Kishan,India,18/07/1998,26,WICKETKEEPER,LHB,,2,27,32,"GL,MI",MI,Capped,200
31,5,WK1,Phil,Salt,England,28/08/1996,28,WICKETKEEPER,RHB,,,25,33,"DC,KKR",KKR,Capped,200
32,5,WK1,Jitesh,Sharma,India,22/10/1993,31,WICKETKEEPER,RHB,,,,9,"MI,PBKS",PBKS,Capped,100
33,6,FA1,Syed Khaleel,Ahmed,India,5/12/1997,27,BOWLER,RHB,LEFT ARM Fast Medium,,11,18,"SRH,DC",DC,Capped,200
34,6,FA1,Trent,Boult,New Zealand,22/07/1989,35,BOWLER,RHB,LEFT ARM Fast Medium,78,114,61,"SRH,DC,MI,RR",RR,Capped,200
35,6,FA1,Josh,Hazlewood,Australia,8/1/1991,34,BOWLER,LHB,RIGHT ARM Fast Medium,70,90,52,"CSK,RCB",,Capped,200
